nodes,group_size,rep,op_id,root,group_idx,size,legs,start_ns,complete_ns,duration_ns,matrix_path
16,2,0,1,2,0,4096,1,0,3582,3582,bcast_sweep/bcast_n16_g2_r0.cm
16,2,1,1,2,0,4096,1,0,3582,3582,bcast_sweep/bcast_n16_g2_r1.cm
16,2,2,1,8,0,4096,1,0,3582,3582,bcast_sweep/bcast_n16_g2_r2.cm
16,2,3,1,4,0,4096,1,0,3582,3582,bcast_sweep/bcast_n16_g2_r3.cm
16,2,4,1,4,0,4096,1,0,3582,3582,bcast_sweep/bcast_n16_g2_r4.cm
16,2,5,1,8,0,4096,1,0,3582,3582,bcast_sweep/bcast_n16_g2_r5.cm
16,2,6,1,5,0,4096,1,0,3582,3582,bcast_sweep/bcast_n16_g2_r6.cm
16,2,7,1,3,0,4096,1,0,3582,3582,bcast_sweep/bcast_n16_g2_r7.cm
16,2,8,1,1,0,4096,1,0,3582,3582,bcast_sweep/bcast_n16_g2_r8.cm
16,2,9,1,1,0,4096,1,0,3582,3582,bcast_sweep/bcast_n16_g2_r9.cm
16,4,0,1,5,0,4096,3,0,4258,4258,bcast_sweep/bcast_n16_g4_r0.cm
16,4,1,1,1,0,4096,3,0,4258,4258,bcast_sweep/bcast_n16_g4_r1.cm
16,4,2,1,5,0,4096,3,0,4258,4258,bcast_sweep/bcast_n16_g4_r2.cm
16,4,3,1,0,0,4096,3,0,4258,4258,bcast_sweep/bcast_n16_g4_r3.cm
16,4,4,1,6,0,4096,3,0,4258,4258,bcast_sweep/bcast_n16_g4_r4.cm
16,4,5,1,3,0,4096,3,0,4258,4258,bcast_sweep/bcast_n16_g4_r5.cm
16,4,6,1,3,0,4096,3,0,4258,4258,bcast_sweep/bcast_n16_g4_r6.cm
16,4,7,1,0,0,4096,3,0,4258,4258,bcast_sweep/bcast_n16_g4_r7.cm
16,4,8,1,0,0,4096,3,0,4258,4258,bcast_sweep/bcast_n16_g4_r8.cm
16,4,9,1,0,0,4096,3,0,4258,4258,bcast_sweep/bcast_n16_g4_r9.cm
16,8,0,1,4,0,4096,7,0,5610,5610,bcast_sweep/bcast_n16_g8_r0.cm
16,8,1,1,1,0,4096,7,0,5610,5610,bcast_sweep/bcast_n16_g8_r1.cm
16,8,2,1,3,0,4096,7,0,5610,5610,bcast_sweep/bcast_n16_g8_r2.cm
16,8,3,1,0,0,4096,7,0,5610,5610,bcast_sweep/bcast_n16_g8_r3.cm
16,8,4,1,1,0,4096,7,0,5610,5610,bcast_sweep/bcast_n16_g8_r4.cm
16,8,5,1,0,0,4096,7,0,5610,5610,bcast_sweep/bcast_n16_g8_r5.cm
16,8,6,1,0,0,4096,7,0,5610,5610,bcast_sweep/bcast_n16_g8_r6.cm
16,8,7,1,0,0,4096,7,0,5610,5610,bcast_sweep/bcast_n16_g8_r7.cm
16,8,8,1,1,0,4096,7,0,5610,5610,bcast_sweep/bcast_n16_g8_r8.cm
16,8,9,1,0,0,4096,7,0,5610,5610,bcast_sweep/bcast_n16_g8_r9.cm
16,16,0,1,0,0,4096,15,0,8313,8313,bcast_sweep/bcast_n16_g16_r0.cm
16,16,1,1,0,0,4096,15,0,8313,8313,bcast_sweep/bcast_n16_g16_r1.cm
16,16,2,1,0,0,4096,15,0,8313,8313,bcast_sweep/bcast_n16_g16_r2.cm
16,16,3,1,0,0,4096,15,0,8313,8313,bcast_sweep/bcast_n16_g16_r3.cm
16,16,4,1,0,0,4096,15,0,8313,8313,bcast_sweep/bcast_n16_g16_r4.cm
16,16,5,1,0,0,4096,15,0,8313,8313,bcast_sweep/bcast_n16_g16_r5.cm
16,16,6,1,0,0,4096,15,0,8313,8313,bcast_sweep/bcast_n16_g16_r6.cm
16,16,7,1,0,0,4096,15,0,8313,8313,bcast_sweep/bcast_n16_g16_r7.cm
16,16,8,1,0,0,4096,15,0,8313,8313,bcast_sweep/bcast_n16_g16_r8.cm
16,16,9,1,0,0,4096,15,0,8313,8313,bcast_sweep/bcast_n16_g16_r9.cm
128,2,0,1,48,0,4096,1,0,3582,3582,bcast_sweep/bcast_n128_g2_r0.cm
128,2,1,1,32,0,4096,1,0,3582,3582,bcast_sweep/bcast_n128_g2_r1.cm
128,2,2,1,21,0,4096,1,0,3582,3582,bcast_sweep/bcast_n128_g2_r2.cm
128,2,3,1,50,0,4096,1,0,3582,3582,bcast_sweep/bcast_n128_g2_r3.cm
128,2,4,1,35,0,4096,1,0,3582,3582,bcast_sweep/bcast_n128_g2_r4.cm
128,2,5,1,50,0,4096,1,0,2444,2444,bcast_sweep/bcast_n128_g2_r5.cm
128,2,6,1,48,0,4096,1,0,3582,3582,bcast_sweep/bcast_n128_g2_r6.cm
128,2,7,1,85,0,4096,1,0,3582,3582,bcast_sweep/bcast_n128_g2_r7.cm
128,2,8,1,19,0,4096,1,0,3582,3582,bcast_sweep/bcast_n128_g2_r8.cm
128,2,9,1,47,0,4096,1,0,3582,3582,bcast_sweep/bcast_n128_g2_r9.cm
128,4,0,1,61,0,4096,3,0,4258,4258,bcast_sweep/bcast_n128_g4_r0.cm
128,4,1,1,5,0,4096,3,0,4258,4258,bcast_sweep/bcast_n128_g4_r1.cm
128,4,2,1,42,0,4096,3,0,4258,4258,bcast_sweep/bcast_n128_g4_r2.cm
128,4,3,1,19,0,4096,3,0,4258,4258,bcast_sweep/bcast_n128_g4_r3.cm
128,4,4,1,61,0,4096,3,0,4258,4258,bcast_sweep/bcast_n128_g4_r4.cm
128,4,5,1,55,0,4096,3,0,4258,4258,bcast_sweep/bcast_n128_g4_r5.cm
128,4,6,1,42,0,4096,3,0,4258,4258,bcast_sweep/bcast_n128_g4_r6.cm
128,4,7,1,6,0,4096,3,0,4258,4258,bcast_sweep/bcast_n128_g4_r7.cm
128,4,8,1,22,0,4096,3,0,4258,4258,bcast_sweep/bcast_n128_g4_r8.cm
128,4,9,1,1,0,4096,3,0,4258,4258,bcast_sweep/bcast_n128_g4_r9.cm
128,8,0,1,35,0,4096,7,0,5610,5610,bcast_sweep/bcast_n128_g8_r0.cm
128,8,1,1,8,0,4096,7,0,5610,5610,bcast_sweep/bcast_n128_g8_r1.cm
128,8,2,1,1,0,4096,7,0,5610,5610,bcast_sweep/bcast_n128_g8_r2.cm
128,8,3,1,4,0,4096,7,0,5610,5610,bcast_sweep/bcast_n128_g8_r3.cm
128,8,4,1,7,0,4096,7,0,5610,5610,bcast_sweep/bcast_n128_g8_r4.cm
128,8,5,1,8,0,4096,7,0,5610,5610,bcast_sweep/bcast_n128_g8_r5.cm
128,8,6,1,22,0,4096,7,0,5610,5610,bcast_sweep/bcast_n128_g8_r6.cm
128,8,7,1,34,0,4096,7,0,5610,5610,bcast_sweep/bcast_n128_g8_r7.cm
128,8,8,1,4,0,4096,7,0,5610,5610,bcast_sweep/bcast_n128_g8_r8.cm
128,8,9,1,12,0,4096,7,0,5610,5610,bcast_sweep/bcast_n128_g8_r9.cm
128,16,0,1,4,0,4096,15,0,8313,8313,bcast_sweep/bcast_n128_g16_r0.cm
128,16,1,1,1,0,4096,15,0,8313,8313,bcast_sweep/bcast_n128_g16_r1.cm
128,16,2,1,2,0,4096,15,0,8313,8313,bcast_sweep/bcast_n128_g16_r2.cm
128,16,3,1,16,0,4096,15,0,8313,8313,bcast_sweep/bcast_n128_g16_r3.cm
128,16,4,1,7,0,4096,15,0,8313,8313,bcast_sweep/bcast_n128_g16_r4.cm
128,16,5,1,4,0,4096,15,0,8313,8313,bcast_sweep/bcast_n128_g16_r5.cm
128,16,6,1,20,0,4096,15,0,8313,8313,bcast_sweep/bcast_n128_g16_r6.cm
128,16,7,1,11,0,4096,15,0,8313,8313,bcast_sweep/bcast_n128_g16_r7.cm
128,16,8,1,13,0,4096,15,0,8313,8313,bcast_sweep/bcast_n128_g16_r8.cm
128,16,9,1,6,0,4096,15,0,8313,8313,bcast_sweep/bcast_n128_g16_r9.cm
128,32,0,1,10,0,4096,31,0,13720,13720,bcast_sweep/bcast_n128_g32_r0.cm
128,32,1,1,2,0,4096,31,0,13720,13720,bcast_sweep/bcast_n128_g32_r1.cm
128,32,2,1,4,0,4096,31,0,13720,13720,bcast_sweep/bcast_n128_g32_r2.cm
128,32,3,1,2,0,4096,31,0,13720,13720,bcast_sweep/bcast_n128_g32_r3.cm
128,32,4,1,1,0,4096,31,0,13720,13720,bcast_sweep/bcast_n128_g32_r4.cm
128,32,5,1,0,0,4096,31,0,13720,13720,bcast_sweep/bcast_n128_g32_r5.cm
128,32,6,1,4,0,4096,31,0,13720,13720,bcast_sweep/bcast_n128_g32_r6.cm
128,32,7,1,0,0,4096,31,0,13720,13720,bcast_sweep/bcast_n128_g32_r7.cm
128,32,8,1,4,0,4096,31,0,13720,13720,bcast_sweep/bcast_n128_g32_r8.cm
128,32,9,1,14,0,4096,31,0,13720,13720,bcast_sweep/bcast_n128_g32_r9.cm
128,64,0,1,0,0,4096,63,0,24533,24533,bcast_sweep/bcast_n128_g64_r0.cm
128,64,1,1,0,0,4096,63,0,24533,24533,bcast_sweep/bcast_n128_g64_r1.cm
128,64,2,1,4,0,4096,63,0,24533,24533,bcast_sweep/bcast_n128_g64_r2.cm
128,64,3,1,0,0,4096,63,0,24533,24533,bcast_sweep/bcast_n128_g64_r3.cm
128,64,4,1,0,0,4096,63,0,24533,24533,bcast_sweep/bcast_n128_g64_r4.cm
128,64,5,1,4,0,4096,63,0,24533,24533,bcast_sweep/bcast_n128_g64_r5.cm
128,64,6,1,2,0,4096,63,0,24533,24533,bcast_sweep/bcast_n128_g64_r6.cm
128,64,7,1,0,0,4096,63,0,24533,24533,bcast_sweep/bcast_n128_g64_r7.cm
128,64,8,1,1,0,4096,63,0,24533,24533,bcast_sweep/bcast_n128_g64_r8.cm
128,64,9,1,0,0,4096,63,0,24533,24533,bcast_sweep/bcast_n128_g64_r9.cm
128,128,0,1,0,0,4096,127,0,46160,46160,bcast_sweep/bcast_n128_g128_r0.cm
128,128,1,1,0,0,4096,127,0,46160,46160,bcast_sweep/bcast_n128_g128_r1.cm
128,128,2,1,0,0,4096,127,0,46160,46160,bcast_sweep/bcast_n128_g128_r2.cm
128,128,3,1,0,0,4096,127,0,46160,46160,bcast_sweep/bcast_n128_g128_r3.cm
128,128,4,1,0,0,4096,127,0,46160,46160,bcast_sweep/bcast_n128_g128_r4.cm
