topology_class,su_topo,collective,baseline_algo,group_size,msg_bytes,size_mult,crosses_inc,crosses_baseline,bytes_inc,bytes_baseline,ratio_crosses,ratio_bytes,analytic_ratio,inc_makespan_ns,base_makespan_ns,drops,inc_status,base_status,so_topo,nodes,gpus_per_node,mtu,intranode_linkspeed_mbps,engine,command
single_switch,scaleup_single_switch_64_4000Gbps.topo,allgather,ring,2,8192,1,4,8,16640,16896,2.0000,1.0154,1.0000,516,918,0,ok,ok,tree16_bw200Gbps.topo,2,64,4160,4000000,pcm-sdk,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_coll_footprint/inc_single_switch_allgather_2_1.bin -nodes 2 -num_gpus_per_node 64 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_single_switch_64_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_queue_type lossless_input -link_crosses_csv /tmp/lc_nzhll0ku.csv -mtu 4160 -groups /tmp/scaleup_coll_footprint/inc_single_switch_allgather_2_1.groups
single_switch,scaleup_single_switch_64_4000Gbps.topo,allgather,rdouble,2,8192,1,4,8,16640,16896,2.0000,1.0154,1.0000,516,918,0,ok,ok,tree16_bw200Gbps.topo,2,64,4160,4000000,pcm-sdk,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_coll_footprint/inc_single_switch_allgather_2_1.bin -nodes 2 -num_gpus_per_node 64 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_single_switch_64_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_queue_type lossless_input -link_crosses_csv /tmp/lc_nzhll0ku.csv -mtu 4160 -groups /tmp/scaleup_coll_footprint/inc_single_switch_allgather_2_1.groups
single_switch,scaleup_single_switch_64_4000Gbps.topo,allreduce,ring,2,8192,1,8,16,33280,33792,2.0000,1.0154,,524,1737,0,ok,ok,tree16_bw200Gbps.topo,2,64,4160,4000000,pcm-sdk,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_coll_footprint/inc_single_switch_allreduce_2_1.bin -nodes 2 -num_gpus_per_node 64 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_single_switch_64_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_queue_type lossless_input -link_crosses_csv /tmp/lc_zownipnf.csv -mtu 4160 -groups /tmp/scaleup_coll_footprint/inc_single_switch_allreduce_2_1.groups
single_switch,scaleup_single_switch_64_4000Gbps.topo,allreduce,rdouble,2,8192,1,8,16,33280,33792,2.0000,1.0154,,524,1737,0,ok,ok,tree16_bw200Gbps.topo,2,64,4160,4000000,pcm-sdk,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_coll_footprint/inc_single_switch_allreduce_2_1.bin -nodes 2 -num_gpus_per_node 64 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_single_switch_64_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_queue_type lossless_input -link_crosses_csv /tmp/lc_zownipnf.csv -mtu 4160 -groups /tmp/scaleup_coll_footprint/inc_single_switch_allreduce_2_1.groups
single_switch,scaleup_single_switch_64_4000Gbps.topo,reduce_scatter,ring,2,8192,1,6,8,24960,16896,1.3333,0.6769,,524,918,0,ok,ok,tree16_bw200Gbps.topo,2,64,4160,4000000,pcm-sdk,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_coll_footprint/inc_single_switch_reduce_scatter_2_1.bin -nodes 2 -num_gpus_per_node 64 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_single_switch_64_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_queue_type lossless_input -link_crosses_csv /tmp/lc_oaf4h_fv.csv -mtu 4160 -groups /tmp/scaleup_coll_footprint/inc_single_switch_reduce_scatter_2_1.groups
single_switch,scaleup_single_switch_64_4000Gbps.topo,reduce_scatter,rdouble,2,8192,1,6,8,24960,16896,1.3333,0.6769,,524,918,0,ok,ok,tree16_bw200Gbps.topo,2,64,4160,4000000,pcm-sdk,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_coll_footprint/inc_single_switch_reduce_scatter_2_1.bin -nodes 2 -num_gpus_per_node 64 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_single_switch_64_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_queue_type lossless_input -link_crosses_csv /tmp/lc_oaf4h_fv.csv -mtu 4160 -groups /tmp/scaleup_coll_footprint/inc_single_switch_reduce_scatter_2_1.groups
single_switch,scaleup_single_switch_64_4000Gbps.topo,bcast,ring,2,8192,1,4,8,16640,16896,2.0000,1.0154,,524,934,0,ok,ok,tree16_bw200Gbps.topo,2,64,4160,4000000,pcm-sdk,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_coll_footprint/inc_single_switch_bcast_2_1.bin -nodes 2 -num_gpus_per_node 64 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_single_switch_64_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_queue_type lossless_input -link_crosses_csv /tmp/lc_bnk7vx1t.csv -mtu 4160 -groups /tmp/scaleup_coll_footprint/inc_single_switch_bcast_2_1.groups
single_switch,scaleup_single_switch_64_4000Gbps.topo,reduce,ring,2,8192,1,6,8,24960,16896,1.3333,0.6769,,524,934,0,ok,ok,tree16_bw200Gbps.topo,2,64,4160,4000000,pcm-sdk,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_coll_footprint/inc_single_switch_reduce_2_1.bin -nodes 2 -num_gpus_per_node 64 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_single_switch_64_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_queue_type lossless_input -link_crosses_csv /tmp/lc_giqlpkj1.csv -mtu 4160 -groups /tmp/scaleup_coll_footprint/inc_single_switch_reduce_2_1.groups
single_switch,scaleup_single_switch_64_4000Gbps.topo,allgather,ring,4,16384,1,16,48,66560,101376,3.0000,1.5231,1.5000,533,2556,0,ok,ok,tree16_bw200Gbps.topo,2,64,4160,4000000,pcm-sdk,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_coll_footprint/inc_single_switch_allgather_4_1.bin -nodes 2 -num_gpus_per_node 64 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_single_switch_64_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_queue_type lossless_input -link_crosses_csv /tmp/lc_itw853yl.csv -mtu 4160 -groups /tmp/scaleup_coll_footprint/inc_single_switch_allgather_4_1.groups
single_switch,scaleup_single_switch_64_4000Gbps.topo,allgather,rdouble,4,16384,1,16,48,66560,101376,3.0000,1.5231,1.5000,533,1746,0,ok,ok,tree16_bw200Gbps.topo,2,64,4160,4000000,pcm-sdk,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_coll_footprint/inc_single_switch_allgather_4_1.bin -nodes 2 -num_gpus_per_node 64 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_single_switch_64_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_queue_type lossless_input -link_crosses_csv /tmp/lc_itw853yl.csv -mtu 4160 -groups /tmp/scaleup_coll_footprint/inc_single_switch_allgather_4_1.groups
