group_size,msg_bytes,inc_ns,ring_ns,ideal_ring_ns,speedup,speedup_vs_ideal,inc_makespan_ns,ring_makespan_ns,drops,fabric,reduce_compute_ns,su_topo,analytic_rate_bns,hop_oneway_ns,intranode_linkspeed_mbps,engine
2,64512,1541,5359,1431.0,3.478,0.929,1641,5459,0,lossless_input,100,scaleup_single_switch_2_3600Gbps.topo,492.3,1300,3600000,pcm-sdk
2,1048320,3541,7580,3429.4,2.141,0.968,3641,7680,0,lossless_input,100,scaleup_single_switch_2_3600Gbps.topo,492.3,1300,3600000,pcm-sdk
4,64512,1541,15861,4096.6,10.293,2.658,1641,15961,0,lossless_input,100,scaleup_single_switch_4_3600Gbps.topo,492.3,1300,3600000,pcm-sdk
4,1048320,3541,19194,7094.1,5.421,2.003,3641,19294,0,lossless_input,100,scaleup_single_switch_4_3600Gbps.topo,492.3,1300,3600000,pcm-sdk
8,64512,1541,36759,9329.3,23.854,6.054,1641,36859,0,lossless_input,100,scaleup_single_switch_8_3600Gbps.topo,492.3,1300,3600000,pcm-sdk
8,1048320,3541,40648,12826.5,11.479,3.622,3641,40748,0,lossless_input,100,scaleup_single_switch_8_3600Gbps.topo,492.3,1300,3600000,pcm-sdk
16,64512,1541,78499,19745.7,50.940,12.814,1641,78599,0,lossless_input,100,scaleup_single_switch_16_3600Gbps.topo,492.3,1300,3600000,pcm-sdk
16,1048320,3541,82668,23492.7,23.346,6.634,3641,82768,0,lossless_input,100,scaleup_single_switch_16_3600Gbps.topo,492.3,1300,3600000,pcm-sdk
32,64512,1541,161731,40553.9,104.952,26.317,1641,161831,0,lossless_input,100,scaleup_single_switch_32_3600Gbps.topo,492.3,1300,3600000,pcm-sdk
32,1048320,3541,166264,44425.8,46.954,12.546,3641,166364,0,lossless_input,100,scaleup_single_switch_32_3600Gbps.topo,492.3,1300,3600000,pcm-sdk
64,64512,1541,328172,82158.0,212.960,53.315,1641,328272,0,lossless_input,100,scaleup_single_switch_64_3600Gbps.topo,492.3,1300,3600000,pcm-sdk
64,1048320,3541,333234,86092.3,94.107,24.313,3641,333334,0,lossless_input,100,scaleup_single_switch_64_3600Gbps.topo,492.3,1300,3600000,pcm-sdk
72,64512,1541,369781,92558.4,239.962,60.064,1641,369881,0,lossless_input,100,scaleup_single_switch_72_3600Gbps.topo,492.3,1300,3600000,pcm-sdk
72,1048320,3541,374884,96499.7,105.870,27.252,3641,374984,0,lossless_input,100,scaleup_single_switch_72_3600Gbps.topo,492.3,1300,3600000,pcm-sdk
256,64512,3257,1531672,739761.1,470.271,227.130,3357,1531772,0,lossless_input,100,scaleup_twotier_h100_256gpu_3600Gbps.topo,492.3,2900,3600000,pcm-sdk
256,1048320,5258,1540544,743742.2,292.990,141.450,5358,1540644,0,lossless_input,100,scaleup_twotier_h100_256gpu_3600Gbps.topo,492.3,2900,3600000,pcm-sdk
