group_size,msg_bytes,inc_ns,ring_ns,ideal_ring_ns,speedup,speedup_vs_ideal,inc_makespan_ns,ring_makespan_ns,drops,fabric,reduce_compute_ns,su_topo,analytic_rate_bns,hop_oneway_ns,intranode_linkspeed_mbps,engine
16,4096,1424,78046,19515.6,54.808,13.705,1524,78146,0,lossless_input,100,scaleup_single_switch_16_3600Gbps.topo,492.3,1300,3600000,pcm-sdk
16,16384,1449,78138,19562.4,53.925,13.501,1549,78238,0,lossless_input,100,scaleup_single_switch_16_3600Gbps.topo,492.3,1300,3600000,pcm-sdk
16,65536,1549,78510,19749.6,50.684,12.750,1649,78610,0,lossless_input,100,scaleup_single_switch_16_3600Gbps.topo,492.3,1300,3600000,pcm-sdk
16,262144,1947,79341,20498.4,40.750,10.528,2047,79441,0,lossless_input,100,scaleup_single_switch_16_3600Gbps.topo,492.3,1300,3600000,pcm-sdk
16,1048576,3541,82669,23493.7,23.346,6.635,3641,82769,0,lossless_input,100,scaleup_single_switch_16_3600Gbps.topo,492.3,1300,3600000,pcm-sdk
16,4194304,9932,95977,35474.6,9.663,3.572,10032,96077,0,lossless_input,100,scaleup_single_switch_16_3600Gbps.topo,492.3,1300,3600000,pcm-sdk
72,4608,1424,369309,92318.5,259.346,64.830,1524,369409,0,lossless_input,100,scaleup_single_switch_72_3600Gbps.topo,492.3,1300,3600000,pcm-sdk
72,18432,1449,369418,92373.8,254.947,63.750,1549,369518,0,lossless_input,100,scaleup_single_switch_72_3600Gbps.topo,492.3,1300,3600000,pcm-sdk
72,73728,1566,369854,92595.4,236.178,59.129,1666,369954,0,lossless_input,100,scaleup_single_switch_72_3600Gbps.topo,492.3,1300,3600000,pcm-sdk
72,294912,2014,371614,93481.5,184.515,46.416,2114,371714,0,lossless_input,100,scaleup_single_switch_72_3600Gbps.topo,492.3,1300,3600000,pcm-sdk
72,1179648,3807,375551,97025.8,98.647,25.486,3907,375651,0,lossless_input,100,scaleup_single_switch_72_3600Gbps.topo,492.3,1300,3600000,pcm-sdk
72,4718592,10994,391300,111203.3,35.592,10.115,11094,391400,0,lossless_input,100,scaleup_single_switch_72_3600Gbps.topo,492.3,1300,3600000,pcm-sdk
72,18874368,39754,454293,167913.3,11.428,4.224,39854,454393,0,lossless_input,100,scaleup_single_switch_72_3600Gbps.topo,492.3,1300,3600000,pcm-sdk
72,75497472,154775,706851,394753.4,4.567,2.550,154875,706951,0,lossless_input,100,scaleup_single_switch_72_3600Gbps.topo,492.3,1300,3600000,pcm-sdk
72,301989888,614853,1718917,1302113.5,2.796,2.118,614953,1719017,0,lossless_input,100,scaleup_single_switch_72_3600Gbps.topo,492.3,1300,3600000,pcm-sdk
